cluster_pred,Endurance,Strength,Power,Speed,Agility,Flexibility,Nerve,Durability,Hand-Eye Coordination,Analytical Aptitude
0,6.064375,6.04125,6.416875,5.924375,3.775,4.3306249999999995,3.0949999999999998,4.385,3.003125,3.425
1,4.1518749999999995,5.0649999999999995,5.02625,3.893125,4.863125,5.649375,7.198125,4.9399999999999995,4.4643749999999995,4.071875
2,6.266315789473684,5.673684210526315,6.3978947368421055,6.258947368421053,6.7457894736842094,5.233157894736841,4.8052631578947365,5.903684210526316,6.8110526315789475,6.470526315789473
3,2.46,2.7377777777777776,2.8777777777777778,1.4333333333333333,2.1688888888888886,2.697777777777778,2.322222222222222,1.7111111111111112,5.377777777777777,4.794444444444444
