,Sport,Endurance,Strength,Power,Speed,Agility,Flexibility,Nerve,Durability,Hand-Eye Coordination,Analytical Aptitude,Total,Rank
0,Boxing,8.63,8.13,8.63,6.38,6.25,4.38,8.88,8.5,7.0,5.63,72.375,1
1,Ice Hockey,7.25,7.13,7.88,7.75,7.63,4.88,6.0,8.25,7.5,7.5,71.75,2
2,Football,5.38,8.63,8.13,7.13,6.38,4.38,7.25,8.5,5.5,7.13,68.375,3
3,Basketball,7.38,6.25,6.5,7.25,8.13,5.63,4.13,7.75,7.5,7.38,67.875,4
4,Wrestling,6.63,8.38,7.13,5.13,6.38,7.5,5.0,6.75,4.25,6.38,63.5,5
5,Martial Arts,5.0,5.88,7.75,6.38,6.0,7.0,6.63,5.88,6.0,6.88,63.375,6
6,Tennis,7.25,5.13,7.13,6.75,7.75,5.63,3.0,5.0,8.38,6.75,62.75,7
7,Gymnastics,5.38,6.13,6.63,5.0,6.38,10.0,7.5,6.88,4.5,4.13,62.5,8
8,Baseball/Softball,4.63,5.75,7.63,6.5,6.75,4.75,5.13,5.63,9.25,6.25,62.25,9
9,Soccer,7.75,4.5,5.13,7.25,8.25,4.75,3.63,6.25,6.5,7.5,61.5,10
10,Skiing: Alpine,5.13,5.25,6.0,7.38,6.13,5.63,8.38,6.0,5.13,5.63,60.625,11
11,Water Polo,7.88,6.63,6.88,5.38,6.38,5.0,4.25,6.38,6.25,5.63,60.625,11
12,Rugby,6.75,7.0,6.38,5.88,6.0,4.13,6.5,7.88,4.38,5.63,60.5,13
13,Lacrosse,6.63,5.13,5.75,7.0,6.63,4.75,4.38,6.13,7.13,6.88,60.375,14
14,Rodeo: Steer Wrestling,4.0,7.0,7.88,3.88,4.88,5.0,7.88,6.88,5.13,4.0,56.5,15
15,Track and Field: Pole Vault,3.38,6.88,7.25,6.13,5.38,7.0,6.63,4.25,5.25,3.75,55.875,16
16,Field Hockey,6.75,4.5,5.38,6.0,5.75,4.63,3.75,5.0,6.63,6.5,54.875,17
17,Speed Skating,7.63,7.25,7.38,8.88,4.0,4.25,4.5,4.63,2.88,3.5,54.875,17
18,Figure Skating,6.38,5.25,6.63,5.13,6.88,8.25,4.88,4.0,3.13,4.25,54.75,19
19,Cycling: Distance,9.63,6.38,6.25,5.13,3.75,2.63,5.88,6.88,3.0,4.88,54.375,20
20,Volleyball,5.13,4.88,6.63,5.0,7.0,5.13,2.88,4.63,7.25,5.88,54.375,20
21,Racquetball/Squash,6.13,3.75,5.0,5.5,7.25,5.88,2.38,2.88,8.38,6.5,53.625,22
22,Surfing,4.63,5.0,4.13,4.25,6.63,5.5,8.25,5.5,4.38,4.88,53.125,23
23,Fencing,4.63,3.75,4.25,5.13,6.13,5.63,4.88,4.25,7.25,6.88,52.75,24
24,Skiing: Freestyle,4.13,5.13,4.88,5.13,6.63,6.88,6.63,5.13,4.13,3.88,52.5,25
25,Team Handball,4.88,3.88,5.38,5.5,6.0,4.5,3.0,3.88,7.88,5.88,50.75,26
26,Cycling: Sprints,4.25,6.13,7.88,7.5,4.0,2.88,4.75,4.5,3.63,4.5,50.0,27
27,Bobsledding/Luge,3.5,5.5,6.5,6.75,4.13,3.25,7.75,3.5,4.13,4.25,49.25,28
28,Ski Jumping,3.5,4.5,5.75,4.63,4.0,5.0,9.0,4.63,4.38,3.5,48.875,29
